,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975,72.5475,64.6225,58.677499999999995,63.794999999999995,43.6,54.597500000000004,62.275000000000006,89.79499999999999,71.5575,73.4675,56.3275,65.5275,64.94000000000001,63.4825,62.995,63.145,66.52250000000001,53.9525,70.1775,64.0425,68.0,61.91250000000001,57.055,73.0875,67.3425,57.2325,64.1,46.705,65.53999999999999,61.747499999999995,57.644999999999996,77.95,68.13000000000001,64.38,64.98,52.65,52.265,71.47749999999999,64.965,71.43499999999999,66.78750000000001,68.4375,57.447500000000005,56.877500000000005,73.49499999999999,68.055,47.575,63.2475,64.49499999999999,50.572500000000005
1976,77.4475,72.0575,60.73500000000001,69.8725,51.74,59.0775,66.2275,83.3725,71.34,75.5475,55.522499999999994,68.7525,71.2325,65.29749999999999,70.77250000000001,68.49000000000001,69.27,59.3975,69.85000000000001,69.7825,69.28750000000001,64.17500000000001,63.004999999999995,75.47,70.76000000000002,63.47,68.335,59.155,64.38,63.637499999999996,62.7525,74.5625,70.1575,72.9675,69.6,59.09499999999999,59.3525,75.47,68.995,74.685,66.4475,70.0,62.3875,62.94,83.875,70.0975,54.415,66.66,66.805,57.885
1977,85.5775,77.7825,65.5775,77.305,64.8575,68.0825,69.2575,82.86749999999999,74.795,77.54750000000001,60.12500000000001,76.88250000000001,83.89250000000001,73.535,79.505,76.81,74.815,64.73,81.6425,74.855,72.63,69.73499999999999,70.76249999999999,79.425,77.48,73.5975,76.235,64.44500000000001,72.98750000000001,66.9575,72.22,81.96499999999999,76.7125,81.39999999999999,77.05250000000001,66.15,72.0875,79.735,73.71000000000001,79.66499999999999,73.235,77.3575,70.04,72.4275,87.845,76.1625,65.06,77.9575,76.92,66.795
1978,92.5325,82.63000000000001,76.56,84.3825,77.3275,82.02000000000001,82.3775,86.135,82.83250000000001,84.315,68.125,88.785,97.695,85.3275,90.7,86.8375,86.5625,76.61749999999999,89.5,84.9075,82.875,81.1375,82.8375,89.56500000000001,89.24,89.9325,84.57750000000001,81.38749999999999,80.44749999999999,75.10000000000001,80.08,84.785,85.0075,86.725,87.4,78.8375,86.22749999999999,86.1925,83.9025,86.47999999999999,83.0625,86.235,80.665,85.54,92.47,84.925,81.0725,84.92,88.83,77.8375
1979,102.6975,94.235,93.41250000000001,97.6825,90.7025,95.97,99.16,91.5225,93.5975,91.615,84.4225,96.3175,99.935,96.255,100.05,95.60999999999999,97.5525,93.19500000000001,103.35999999999999,95.19,95.67750000000001,96.475,95.48499999999999,99.875,99.47500000000001,99.0475,95.625,97.705,92.55,89.59499999999998,92.6925,96.2,93.6875,98.82249999999999,98.46000000000001,91.94,97.56,95.7375,94.44,96.55,92.9425,94.11250000000001,93.195,97.3375,96.435,92.935,94.03,90.4725,98.7675,93.31
1980,105.6875,86.38749999999999,103.24499999999999,104.3125,104.44749999999999,103.91,102.88499999999999,106.7,103.83250000000001,101.26499999999999,102.5275,100.355,100.6525,100.3475,99.9225,102.17,101.9,100.83749999999999,104.295,103.92249999999999,105.66250000000001,101.5975,103.31750000000001,101.505,105.4875,100.4375,102.7775,103.3775,98.85499999999999,101.61000000000001,100.47999999999999,108.27250000000001,100.57,100.405,101.255,101.0175,101.35249999999999,99.635,101.525,104.42750000000001,101.6825,99.935,103.83250000000001,101.3625,104.0075,102.4225,101.44749999999999,106.8125,101.87,98.165
1981,108.74499999999999,109.1225,111.8725,107.69,114.49,111.07000000000001,110.4,109.2875,111.88,109.06,84.08000000000001,106.11,105.72,104.50750000000001,94.545,102.8425,105.31,109.8575,115.98750000000001,112.255,119.2525,104.44749999999999,103.155,103.22,103.11000000000001,102.75750000000001,101.88999999999999,114.48500000000001,101.36,106.385,111.23249999999999,112.935,105.5375,106.405,102.94,108.3075,95.33500000000001,102.515,102.03,114.52499999999999,95.82,104.59750000000001,113.3525,109.33749999999999,96.08999999999999,106.8,104.17750000000001,101.24249999999999,99.97,108.0125
1982,109.9875,134.8725,108.9975,107.6675,116.4,122.5375,112.02250000000001,113.1125,121.31,114.79,101.185,105.255,102.1875,103.44749999999999,93.74000000000001,104.86749999999999,106.53999999999999,115.065,116.3875,113.5575,126.31,97.5675,107.81,106.8375,103.2175,108.19,107.88000000000001,121.3475,105.3775,111.07249999999999,125.14500000000001,129.2725,109.41000000000001,85.98,101.1925,119.14750000000001,98.105,105.7825,104.93,119.16250000000001,101.2025,106.4675,125.0375,110.94500000000001,115.2525,108.365,103.73,96.13666666666667,95.30499999999999,110.97
1983,115.1725,141.1325,117.0025,117.0675,117.715,125.27000000000001,122.4875,122.3125,124.82000000000001,119.4075,106.7875,106.23499999999999,105.01500000000001,105.5075,98.6975,107.45500000000001,109.595,116.4075,122.755,116.11250000000001,140.1275,96.52000000000001,112.3175,113.14750000000001,109.5275,106.575,110.4525,118.07000000000001,113.165,115.71499999999999,125.605,136.8375,113.31250000000001,101.47,104.975,125.32499999999999,99.1825,111.1125,115.8275,121.89250000000001,105.6675,111.7975,127.2525,113.79249999999999,117.995,117.7825,105.54,96.0175,105.4125,105.46
1984,122.70750000000001,149.23499999999999,121.2175,120.22749999999999,121.18,125.685,137.3475,130.6175,127.45250000000001,126.175,110.72,108.55499999999999,110.565,106.7675,99.89499999999998,108.085,112.38000000000001,116.07250000000002,138.41000000000003,122.72500000000001,169.9725,97.36,114.665,115.3225,116.6225,117.28,111.81500000000001,117.03,129.635,131.9925,125.07499999999999,159.69,121.66,113.9075,107.0,120.6825,97.9525,116.845,124.395,125.3975,112.3225,114.25999999999999,128.165,113.2,124.6575,123.6675,108.64,95.0325,107.0425,98.4775
1985,125.7125,142.4375,126.73750000000001,122.83,127.7425,126.21249999999999,158.64,142.4775,129.2575,133.3025,115.885,110.7525,115.8,111.1675,102.0525,109.85,115.60749999999999,112.1625,154.24999999999997,129.3625,212.2225,101.74000000000001,117.66,122.24249999999999,123.97500000000001,114.82249999999999,112.8825,118.0475,155.1825,152.0925,127.32999999999998,187.80249999999998,131.3375,110.5,109.9125,116.3875,97.425,124.6375,141.0025,131.0475,111.82749999999999,123.2825,128.3875,116.17,134.905,130.3225,111.41499999999999,94.295,109.72749999999999,95.55250000000001
1986,132.92,139.45749999999998,133.84,127.6525,136.53250000000003,129.175,193.5525,158.4875,135.065,142.8075,121.47999999999999,112.3475,124.125,117.135,103.845,114.02250000000001,121.1675,112.6,177.35,139.33750000000003,261.0,110.2025,122.42500000000001,124.955,130.72499999999997,115.45000000000002,115.9325,123.3,190.6525,183.80249999999998,132.1675,222.1175,139.5,111.70249999999999,115.44999999999999,114.035,98.43499999999999,137.14749999999998,170.82999999999998,137.19250000000002,117.0,131.5675,130.26250000000002,118.62,150.4125,138.5975,114.6425,98.56,113.515,95.5525
1987,138.92,118.195,135.9,128.33499999999998,150.82999999999998,127.33250000000001,243.09249999999997,180.3375,139.0575,150.6025,132.0875,110.915,136.38500000000002,123.28999999999999,104.65249999999999,116.875,127.6875,107.6525,208.7725,156.1775,299.865,122.25999999999999,128.6475,125.19000000000001,138.97,109.7625,116.4875,125.35000000000001,219.43,224.3825,132.9625,259.9325,148.055,111.25999999999999,123.48,105.27499999999999,99.55250000000001,158.2575,223.34250000000003,143.955,119.5025,140.53,121.78000000000002,116.035,171.79,153.0325,118.3025,99.5825,117.2875,86.17999999999999
1988,142.54500000000002,122.29,134.8275,127.21000000000001,174.5825,124.6725,266.4175,199.75750000000002,144.91,156.065,154.8675,110.9675,148.9725,129.365,106.85000000000001,117.93750000000001,134.1875,101.315,232.27,176.16750000000002,315.23,131.70000000000002,133.025,123.435,142.9125,111.61999999999999,117.94,127.5075,227.3225,245.355,130.615,281.0525,154.195,107.8575,131.31,97.56,103.175,179.26250000000002,254.0325,149.60750000000002,117.19749999999999,144.285,115.4425,112.86500000000001,196.45499999999998,171.985,124.7325,100.3475,122.935,80.58
1989,144.525,108.305,133.5425,127.75999999999999,211.32000000000002,125.62750000000001,262.55500000000006,219.26749999999998,150.5325,159.39,190.9275,114.9425,160.29500000000002,134.7925,112.10749999999999,119.43249999999999,140.535,101.405,242.7425,194.365,316.0,140.4375,137.02249999999998,123.61,145.465,113.19500000000001,121.1025,133.89000000000001,227.765,246.53,132.57500000000002,284.6125,158.6925,109.845,137.82,99.565,112.1425,190.6225,264.11,155.4425,120.175,146.2325,115.7675,114.55250000000001,213.175,185.765,141.6825,103.33250000000001,129.64499999999998,82.63250000000001
1990,147.0225,111.5125,133.27249999999998,128.57750000000001,228.7225,128.4575,249.375,226.415,153.4675,160.06,236.1225,122.995,168.58249999999998,139.425,117.80000000000001,119.665,144.5475,102.7125,238.46,202.845,303.15,147.6375,139.4875,125.555,146.6225,118.2625,125.78500000000001,143.9375,213.195,238.04999999999998,133.935,282.54499999999996,161.9775,111.30749999999999,143.965,100.53,128.26,195.38750000000002,260.7525,160.5475,124.6625,146.9275,117.27250000000001,118.3275,215.84500000000003,188.405,172.515,106.285,136.2825,89.0375
1991,151.6775,126.9,136.2725,131.64749999999998,227.87,133.28,237.3425,230.18,156.0375,161.6575,260.865,130.51749999999998,175.03,144.96,123.27499999999999,120.93,149.35999999999999,105.58749999999999,231.555,206.38,286.7625,153.31,143.45749999999998,127.595,148.6175,125.00999999999999,129.96,152.74,196.0675,229.8375,138.005,279.7725,165.39499999999998,114.35499999999999,149.79,103.8075,140.57250000000002,198.9825,251.6325,165.0125,131.28,149.0275,119.9225,125.2,213.485,188.435,183.9725,109.69,142.8275,93.8875
1992,157.775,132.8,140.3725,135.9425,225.035,142.47500000000002,234.745,232.73,160.2725,165.85500000000002,264.4,139.36,181.545,151.0075,128.625,124.30999999999999,154.7825,111.045,230.91,210.6575,283.8225,158.7775,148.2325,132.3525,152.0425,136.9225,135.91500000000002,158.5075,189.935,232.42,145.58249999999998,285.83750000000003,170.21,118.995,156.38,107.34,151.77,204.2125,247.45250000000001,170.33249999999998,139.4525,153.775,124.1325,133.345,215.46999999999997,191.715,191.6375,114.85,150.5075,99.82249999999999
1993,164.5125,135.5075,143.7225,142.115,216.5025,155.405,230.84250000000003,233.81,163.8825,170.45,265.91,151.615,187.8075,156.58499999999998,135.1725,128.10250000000002,160.415,116.625,230.055,212.2375,284.53999999999996,163.155,153.8025,136.495,155.04000000000002,150.75,142.26,162.3125,188.6875,235.64249999999998,154.6775,287.4525,174.7,124.74000000000001,162.435,111.455,163.57,207.69,246.43249999999998,174.855,148.89499999999998,158.945,127.7375,147.8975,217.42249999999999,193.77999999999997,199.25750000000002,120.2275,158.05,107.465
1994,170.46249999999998,141.6625,150.9625,150.2375,205.91250000000002,174.3675,223.4875,230.15250000000003,165.21249999999998,174.22499999999997,264.83000000000004,163.655,196.08,163.5075,144.87,136.4175,170.08249999999998,124.0575,225.37500000000003,210.9075,284.1575,171.41,160.1675,143.77499999999998,162.105,166.7175,152.815,165.0675,186.30249999999998,234.6975,170.5525,281.3125,182.36749999999998,132.4225,170.16750000000002,116.2075,180.83500000000004,207.6875,238.9625,179.3025,159.7325,166.625,130.4875,172.4975,217.88000000000002,195.1,208.815,126.43,172.0375,118.52250000000001
1995,177.3175,147.60750000000002,159.6925,157.33,201.9825,188.26999999999998,222.2525,230.635,169.1375,180.6825,261.27500000000003,172.64999999999998,203.6975,171.54749999999999,152.7825,143.8175,179.08749999999998,129.9925,227.38,211.78499999999997,289.9625,183.5525,167.82,150.7525,169.48000000000002,178.2425,161.3275,170.7225,188.76999999999998,234.88750000000002,182.14000000000001,280.045,191.42749999999998,138.9,177.98499999999999,120.20499999999998,197.655,209.41000000000003,239.6,185.35500000000002,166.6925,176.1325,132.935,192.7725,219.32750000000001,197.4975,215.935,132.1225,182.53249999999997,127.625
1996,184.51749999999998,154.4775,167.4225,162.975,201.4975,199.55249999999998,225.33499999999998,234.65249999999997,173.8725,188.9925,248.6125,178.575,210.8,180.025,159.83,150.635,187.23250000000002,136.775,234.13750000000002,215.4925,300.415,197.995,176.2875,157.22500000000002,176.77749999999997,187.35750000000002,170.1175,175.84,195.1175,239.3425,187.0275,285.315,200.42499999999998,144.31500000000003,187.0875,125.0475,212.5775,213.7225,241.35999999999999,193.60500000000002,174.2975,185.815,136.465,209.48,222.42000000000002,201.79,222.595,136.8375,190.935,133.85
1997,191.375,158.6575,174.06,167.84750000000003,206.925,210.2475,227.965,237.755,178.57999999999998,197.47000000000003,232.445,183.505,217.19,187.63,166.2275,156.8075,195.47500000000002,142.77249999999998,238.74,217.495,313.66499999999996,213.0375,184.8625,162.8775,184.025,192.86,178.73000000000002,179.82,202.495,243.0475,190.4925,288.275,210.0225,147.67249999999999,195.1725,128.75,226.09000000000003,216.7025,243.28500000000003,202.0725,181.26000000000002,194.1325,139.485,222.26999999999998,224.5625,205.85999999999999,231.5425,141.1825,199.43,138.10250000000002
1998,201.20999999999998,163.52750000000003,183.23999999999998,174.01749999999998,224.26000000000002,222.765,239.38,245.4875,187.44000000000003,209.4875,231.7825,190.14,224.2325,195.87,174.2825,164.66000000000003,204.145,150.3775,250.93499999999997,223.9375,335.5025,226.29,195.83749999999998,171.3375,191.495,199.51,186.94,185.23,215.5475,253.385,195.2075,303.08,220.48999999999998,155.345,204.2775,135.1,237.4225,224.41250000000002,252.5625,213.4475,188.8375,204.365,146.1775,233.6475,229.91500000000002,212.42,247.1325,147.87499999999997,207.17,142.935
1999,206.3775,169.1975,192.26,178.33749999999998,242.23,242.0675,252.215,254.89,194.77,222.26749999999998,227.16750000000002,193.5125,233.14499999999998,202.13,181.805,173.175,212.9525,156.26749999999998,265.8675,230.82,370.45500000000004,241.4575,211.76,178.5575,200.79500000000002,204.555,195.07250000000002,187.4625,234.1775,266.13,197.5625,320.4425,228.82,157.6875,211.86249999999998,140.505,243.52,229.915,263.3725,224.6175,195.18,210.9425,154.085,236.465,239.51000000000002,221.5525,260.255,150.685,217.5725,146.905
2000,211.56,172.11249999999998,203.925,182.5325,272.6275,270.335,271.7525,269.485,207.9875,235.655,233.3975,196.86499999999998,247.8075,208.48000000000002,189.29250000000002,182.055,222.12249999999997,161.71,288.12249999999995,243.59749999999997,423.9075,258.9225,233.9425,183.97250000000003,212.36999999999998,212.48250000000002,201.94,193.22750000000002,265.465,289.915,199.71,349.55,237.355,160.8025,219.8825,146.0275,250.51999999999998,238.1475,291.0125,234.61999999999998,202.8975,216.70250000000001,163.5075,238.82250000000002,257.2475,236.71749999999997,273.815,153.125,230.8675,153.14000000000001
2001,223.265,180.6975,217.4475,192.29500000000002,307.375,295.6925,295.6675,289.1525,228.675,252.90749999999997,253.01,207.1975,262.66249999999997,218.79500000000002,199.1775,191.91,233.0325,170.54250000000002,316.47749999999996,263.2675,475.0975,274.0225,258.0825,193.695,224.995,224.4375,210.3275,205.695,298.105,318.58500000000004,208.35250000000002,382.3175,250.01,168.9225,231.6025,154.1825,264.66999999999996,254.09250000000003,323.65250000000003,249.11499999999998,213.645,227.2575,174.39000000000001,249.195,276.875,257.1225,290.61,161.51250000000002,243.005,161.98000000000002
2002,229.83249999999998,190.49499999999998,229.325,198.6775,341.71000000000004,310.4625,323.985,312.3575,252.08749999999998,264.37,272.5075,213.47500000000002,278.8775,225.0825,206.45,200.24249999999998,240.82,177.1625,347.8625,290.7975,532.8475,285.95,281.345,198.64249999999998,237.375,236.6325,217.1625,218.83500000000004,333.6425,357.1175,215.89250000000004,422.3525,257.8475,176.39499999999998,239.4775,160.2175,275.91499999999996,270.60749999999996,373.65000000000003,258.005,222.95749999999998,233.865,180.58749999999998,252.475,297.8425,279.515,303.31,167.1825,255.26250000000002,172.42
2003,238.945,199.84,242.5625,206.8625,384.2925,318.51,351.53000000000003,338.9975,278.745,274.50750000000005,302.495,222.07,293.78,231.2,213.96000000000004,207.09,249.6125,186.0,379.8075,322.0,583.8175,295.675,302.1875,205.16000000000003,248.1175,251.96750000000003,223.8125,238.28250000000003,365.03999999999996,395.18249999999995,226.9175,465.4075,265.9175,185.655,247.1825,166.71499999999997,289.14750000000004,289.08250000000004,428.4425,266.92,232.2375,241.76,186.135,256.65999999999997,319.5125,302.4125,316.48,173.6275,267.4475,182.95499999999998
2004,248.0725,219.9925,273.015,218.845,471.5275,329.695,393.8975,385.7925,326.66499999999996,286.6875,371.61249999999995,238.3775,318.31,237.70499999999998,223.74,216.075,261.3725,196.2775,427.2075,380.2475,649.4549999999999,307.27500000000003,329.8525,213.0825,263.7175,276.7375,234.48,306.64750000000004,406.15999999999997,454.275,243.33999999999997,524.3025,276.33250000000004,198.755,255.9675,173.5425,316.59749999999997,318.9475,508.39750000000004,279.04499999999996,245.41750000000002,251.67000000000002,191.1775,264.67,362.4825,347.6,346.565,184.4825,289.09749999999997,199.9925
2005,265.58000000000004,247.18,354.0975,234.8325,582.0775,345.5975,442.05,444.9525,410.46250000000003,302.765,462.3125,274.285,346.51,246.375,234.71249999999998,225.82,274.45,209.7475,475.565,462.0225,710.155,317.4575,356.7375,225.38,281.1425,311.2625,244.8075,378.6025,449.135,525.8199999999999,272.305,593.255,294.13,214.75,265.1075,182.35,369.14750000000004,356.1825,577.745,300.3875,262.67,268.0,199.595,290.0,412.94,414.6375,401.81500000000005,202.29500000000002,311.64,222.7525
2006,286.53000000000003,271.38250000000005,419.72,249.21,641.285,355.8525,466.9825,487.275,475.47749999999996,316.51000000000005,528.9300000000001,320.1825,365.97749999999996,250.175,240.9375,232.9725,283.3825,232.4325,495.97,521.0725,715.29,312.65,366.25750000000005,245.0575,292.3,346.90500000000003,249.39,410.5325,462.1975,571.1725,308.505,632.305,315.3825,228.17000000000002,266.3425,190.935,430.52750000000003,383.56500000000005,601.1825,322.95,275.1025,287.08750000000003,210.82000000000002,335.69250000000005,446.21000000000004,458.04999999999995,464.4925,214.3125,322.1225,250.8275
2007,300.0825,282.055,415.375,256.525,606.2950000000001,360.0775,468.07750000000004,499.35249999999996,463.14,325.6525,539.3375,338.9325,371.2425,253.67249999999999,246.16,239.13,290.14,244.32750000000001,503.23499999999996,529.9525,691.865,299.5775,363.66,257.2125,297.5875,371.5775,252.3775,392.025,455.1925,570.5849999999999,327.99249999999995,636.035,332.1775,239.54999999999998,264.0825,199.16500000000002,454.6325,394.4175,585.105,337.5875,285.7,300.4325,221.66750000000002,376.60749999999996,457.5075,465.95000000000005,496.78999999999996,219.02749999999997,326.22249999999997,274.9975
2008,303.5,280.9175,357.575,255.5925,485.5325,356.48249999999996,448.025,482.7125,383.92249999999996,318.45500000000004,513.085,330.11750000000006,356.88750000000005,252.08,247.32000000000002,238.77749999999997,291.82,245.17000000000002,495.03249999999997,490.7375,655.145,276.4675,345.635,256.71250000000003,292.90999999999997,376.3975,251.6225,313.10249999999996,433.85749999999996,539.4075,323.865,617.4375,335.74249999999995,247.12499999999997,257.33000000000004,203.14,438.3625,390.7075,537.74,339.4,292.9675,301.44,225.70749999999998,371.66,456.68,443.2025,483.46500000000003,218.55,320.98249999999996,280.76250000000005
2009,299.0325,279.45,300.41999999999996,252.35750000000002,420.13000000000005,350.7325,422.6225,456.5575,327.03749999999997,303.78,468.76,307.865,333.065,247.9225,247.1175,237.835,289.53,244.33249999999998,474.1425,444.98,625.415,256.3,327.46,251.8875,285.105,368.335,250.72499999999997,250.90499999999997,407.115,501.86,310.53499999999997,590.8475,328.03000000000003,250.605,251.035,204.135,400.64250000000004,381.0575,494.57,331.51250000000005,294.0425,295.84499999999997,225.9875,342.01000000000005,446.3875,419.155,442.3025,214.305,311.54,275.545
2010,287.855,277.76,263.33500000000004,245.9575,407.52,339.64,406.73749999999995,437.27,294.955,281.985,450.445,279.2225,315.9375,242.8775,245.385,235.25,286.08500000000004,240.6925,457.9325,423.5525,613.5875,238.7825,310.525,243.5025,277.02250000000004,353.0525,248.815,216.0575,391.48249999999996,484.21250000000003,298.97,573.9775,313.14250000000004,253.58749999999998,243.935,202.645,371.8875,373.00750000000005,472.985,316.22749999999996,291.3825,287.1975,223.1025,320.62,440.375,403.2925,412.615,211.6925,302.0425,267.40999999999997
2011,278.05999999999995,280.07,235.05,241.89,386.1175,329.43,393.7725,412.615,272.41499999999996,260.76,443.6675,254.405,300.735,238.97250000000003,244.66500000000002,231.78499999999997,282.62,237.905,448.9625,406.56,602.3725,229.53250000000003,294.90250000000003,239.105,268.78749999999997,343.05499999999995,248.155,188.36,378.90999999999997,464.88,285.27750000000003,562.0675000000001,301.675,262.84999999999997,235.84750000000003,199.4425,345.8025,365.005,452.0225,303.42,291.9325,279.5675,219.96000000000004,303.4225,436.4425,392.395,385.43,208.4625,293.04499999999996,263.9375
2012,276.8225,281.35,244.4025,243.2075,386.425,334.02500000000003,386.27000000000004,404.27,270.75,250.92749999999998,448.965,257.2875,295.285,239.425,247.32999999999998,232.27999999999997,284.17,241.16,443.6925,402.95750000000004,600.345,229.875,293.3925,238.7025,267.9225,348.6175,251.1875,185.5725,373.265,452.4525,280.27,555.1600000000001,296.8775,278.84749999999997,234.27249999999998,202.29,343.65999999999997,361.9775,439.535,300.385,296.735,279.225,223.1925,307.77,437.4875,391.45,379.99,209.3525,290.8125,267.33500000000004
2013,274.66249999999997,290.115,277.5525,246.6725,435.53999999999996,354.8,382.775,407.52,292.76250000000005,260.9825,473.78749999999997,271.26,296.39,241.7775,251.26500000000004,234.47750000000002,285.95500000000004,244.65749999999997,446.06500000000005,409.8225,614.81,244.18499999999997,306.58000000000004,238.03,268.6725,361.55999999999995,257.6075,215.97750000000002,376.23,454.1775,282.59250000000003,559.52,299.3225,305.15250000000003,234.76,205.7475,367.39,365.29249999999996,438.1975,301.88,307.25250000000005,283.9425,233.1475,329.2775,437.4875,397.475,399.7125,212.3725,290.51750000000004,273.725
2014,278.255,296.17,303.155,249.7175,489.27250000000004,384.57,382.7925,414.445,320.23749999999995,278.70000000000005,507.5925,286.725,305.655,246.495,256.3475,240.0,289.73,250.255,452.03499999999997,421.0575,642.2024999999999,261.485,321.18,241.1975,274.52,375.26,266.2875,250.465,388.05,464.98,285.13,570.9975,306.41999999999996,327.1775,241.27,211.7325,398.28,371.24,449.435,309.3825,316.5375,294.615,249.89249999999998,348.5875,437.66499999999996,407.7875,427.1425,216.73749999999998,294.45750000000004,282.1125
2015,286.5025,306.1325,321.87,256.12,524.2275,425.99249999999995,389.11750000000006,424.96999999999997,350.1875,296.43000000000006,540.0324999999999,304.58000000000004,316.47749999999996,255.82750000000001,264.76,248.48749999999998,300.185,260.2,466.2375,431.7775,670.8924999999999,276.14250000000004,334.40000000000003,248.92000000000002,284.855,392.09749999999997,278.485,277.245,403.55999999999995,477.51750000000004,291.2575,591.8425,320.01,345.89750000000004,250.86249999999998,220.21,433.75,381.4125,469.65,325.5225,330.245,309.20000000000005,268.3975,367.8425,445.665,419.62249999999995,461.65749999999997,222.5725,304.235,292.59999999999997
2016,295.18,313.055,344.13,263.7425,561.8125,471.5325,392.135,436.27750000000003,383.20750000000004,315.405,574.81,327.58,326.34000000000003,265.1825,274.40250000000003,259.675,312.485,270.1875,484.93,444.90749999999997,704.4175,291.7,350.90999999999997,255.8325,297.6825,408.7900000000001,290.4675,303.275,420.3125,490.45249999999993,299.9975,613.9100000000001,336.6875,355.34000000000003,261.26,226.635,482.0325,392.80500000000006,490.9675,343.315,345.73499999999996,328.53749999999997,288.4425,394.8425,453.0925,430.815,510.065,227.2075,316.6675,299.465
2017,305.2075,318.4625,372.6675,274.005,605.38,517.235,396.335,444.83750000000003,418.29999999999995,336.28,604.3475000000001,358.06750000000005,336.785,277.6775,286.1625,271.63,328.1975,277.94000000000005,509.975,459.695,747.81,313.12,373.73749999999995,262.4075,311.4975,429.72999999999996,308.765,333.9275,443.235,503.6675,310.75250000000005,644.72,356.36749999999995,362.1925,274.82500000000005,234.96,525.5899999999999,407.75250000000005,524.7225000000001,363.09000000000003,365.28,352.17999999999995,310.71500000000003,431.685,464.4025,445.81,567.1075000000001,230.01,333.58,304.2325
2018,319.28999999999996,322.0925,405.655,284.85,652.4350000000001,565.3175,402.28,465.1125,453.96999999999997,364.8925,636.645,403.425,347.715,297.76,298.7675,286.64750000000004,345.88,284.275,539.145,476.5575,793.3775,335.76,397.945,270.855,330.85999999999996,456.37,328.5325,380.4075,471.77000000000004,523.54,322.75,682.245,382.0575,367.1925,291.9225,242.755,562.9200000000001,427.84250000000003,563.0274999999999,388.125,384.7875,379.76750000000004,332.38,475.795,480.9,464.79249999999996,627.6274999999999,237.425,355.6025,317.5075
2019,335.5933333333333,332.00333333333333,429.9466666666667,295.6966666666667,673.4466666666667,592.7466666666667,413.03,481.74666666666667,478.99666666666667,386.40000000000003,656.35,442.5633333333333,357.4633333333333,314.13,307.4866666666667,299.32666666666665,359.3766666666666,293.7266666666667,565.2266666666667,491.0333333333333,825.6066666666667,353.3733333333333,415.2266666666667,281.50333333333333,344.67,477.25,344.19666666666666,404.18333333333334,494.1933333333333,540.8766666666667,338.44666666666666,711.82,402.2866666666667,376.82666666666665,306.40000000000003,252.49666666666667,588.1233333333333,446.0,584.6533333333333,408.26,402.22,400.97333333333336,348.40000000000003,509.4433333333333,498.3766666666666,483.42333333333335,658.74,244.05666666666664,371.58666666666664,327.48333333333335
